iter	Passed	Remaining
0	152	152177
1	171	85662
2	188	62735
3	194	48344
4	201	40050
5	207	34419
6	213	30246
7	220	27346
8	224	24760
9	228	22643
10	234	21124
11	238	19651
12	242	18423
13	248	17497
14	251	16546
15	255	15715
16	259	14989
17	263	14388
18	267	13801
19	270	13269
20	274	12782
21	278	12393
22	283	12060
23	287	11688
24	291	11352
25	295	11086
26	299	10793
27	303	10518
28	306	10266
29	311	10061
30	314	9834
31	318	9620
32	321	9418
33	325	9236
34	328	9061
35	334	8945
36	339	8842
37	345	8735
38	348	8599
39	352	8468
40	357	8367
41	361	8241
42	365	8126
43	368	8006
44	372	7897
45	375	7792
46	379	7692
47	382	7593
48	386	7510
49	391	7434
50	395	7350
51	398	7265
52	402	7188
53	406	7125
54	410	7048
55	413	6973
56	417	6910
57	422	6856
58	426	6795
59	429	6727
60	432	6662
61	437	6611
62	440	6551
63	443	6492
64	447	6440
65	456	6458
66	460	6418
67	464	6368
68	469	6341
69	473	6292
70	477	6243
71	480	6192
72	486	6172
73	489	6125
74	493	6087
75	497	6046
76	503	6036
77	507	6003
78	512	5969
79	529	6093
80	538	6110
81	543	6090
82	550	6079
83	554	6051
84	558	6013
85	562	5978
86	567	5952
87	570	5913
88	574	5876
89	577	5841
90	582	5815
91	586	5790
92	591	5764
93	597	5755
94	601	5727
95	604	5694
96	607	5659
97	613	5644
98	616	5611
99	619	5579
100	623	5546
101	628	5535
102	632	5508
103	636	5480
104	639	5450
105	644	5437
106	648	5408
107	651	5380
108	654	5352
109	660	5344
110	663	5317
111	667	5291
112	671	5269
113	676	5259
114	680	5234
115	684	5214
116	688	5194
117	693	5180
118	696	5157
119	699	5132
120	705	5122
121	709	5104
122	713	5088
123	717	5068
124	723	5061
125	727	5043
126	730	5024
127	734	5002
128	739	4992
129	742	4971
130	746	4950
131	749	4930
132	754	4916
133	757	4897
134	761	4880
135	765	4860
136	769	4850
137	774	4835
138	777	4816
139	781	4798
140	784	4781
141	788	4763
142	791	4745
143	795	4728
144	799	4712
145	803	4698
146	806	4680
147	810	4664
148	813	4647
149	817	4632
150	820	4615
151	824	4599
152	827	4582
153	831	4566
154	834	4551
155	838	4534
156	841	4520
157	845	4505
158	848	4490
159	852	4476
160	856	4461
161	859	4448
162	863	4434
163	866	4418
164	870	4403
165	873	4389
166	877	4374
167	880	4360
168	883	4346
169	888	4335
170	891	4322
171	895	4309
172	898	4295
173	901	4281
174	906	4273
175	914	4280
176	920	4279
177	924	4268
178	928	4259
179	932	4246
180	935	4232
181	938	4220
182	943	4213
183	947	4201
184	950	4189
185	955	4182
186	960	4174
187	963	4161
188	967	4150
189	970	4138
190	975	4131
191	978	4118
192	982	4106
193	985	4095
194	990	4090
195	994	4079
196	998	4068
197	1001	4056
198	1006	4051
199	1009	4039
200	1013	4027
201	1016	4017
202	1021	4012
203	1026	4006
204	1030	3998
205	1036	3995
206	1040	3987
207	1044	3976
208	1047	3965
209	1051	3955
210	1055	3947
211	1059	3936
212	1062	3926
213	1067	3920
214	1072	3914
215	1075	3903
216	1079	3893
217	1083	3885
218	1087	3877
219	1090	3867
220	1094	3856
221	1098	3848
