Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Categorize Mental Fatigue,Categorize Designation,Categorize Resource Allocation,days_count
1,1,0,0.4,0.2222222222222222,0.38,0.16,0,1,0,4985
0,1,1,0.2,0.1111111111111111,0.5,0.36,1,0,0,4924
0,1,1,0.2,0.0,0.26,0.2,0,0,0,4951
1,1,0,0.6,0.6666666666666666,0.6900000000000001,0.52,3,1,2,5053
0,0,1,0.4,0.3333333333333333,0.36,0.29,0,1,1,4928
1,1,0,0.6,0.5555555555555556,0.79,0.62,4,1,1,5257
1,1,1,0.4,0.3333333333333333,0.44000000000000006,0.33,1,1,1,4954
0,0,1,0.4,0.2222222222222222,0.53,0.5,2,1,0,5183
0,1,1,0.0,0.0,0.18,0.12,0,0,0,5126
0,0,1,0.2,0.2222222222222222,0.58,0.51,2,0,0,5124
1,1,1,0.6,0.4444444444444444,0.47000000000000003,0.32,1,1,1,5225
0,1,1,0.2,0.1111111111111111,0.5900000000000001,0.39,2,0,0,5182
0,1,0,0.6,0.5555555555555556,0.67,0.59,3,1,1,5171
1,0,1,0.4,0.3333333333333333,0.4,0.22,0,1,1,5109
0,0,0,0.4,0.3333333333333333,0.76,0.57,4,1,1,5015
0,1,1,0.2,0.2222222222222222,0.63,0.47,3,0,0,5244
0,1,1,0.2,0.2222222222222222,0.67,0.46,3,0,0,5134
0,1,0,0.4,0.3333333333333333,0.6599999999999999,0.44,3,1,1,4974
1,1,0,0.4,0.3333333333333333,0.74,0.6,4,1,1,4997
1,1,0,0.4,0.4444444444444444,0.67,0.46,3,1,1,4999
1,0,1,0.2,0.1111111111111111,0.36,0.2,0,0,0,5126
1,1,1,0.2,0.1111111111111111,0.39,0.2,0,0,0,4908
1,1,0,0.0,0.0,0.3,0.19,0,0,0,4974
0,1,0,0.2,0.2222222222222222,0.47000000000000003,0.31,1,0,0,5189
0,0,0,0.8,0.7777777777777778,0.8699999999999999,0.81,4,2,2,5135
0,1,1,0.6,0.4444444444444444,0.44000000000000006,0.39,1,1,1,5042
1,1,1,0.6,0.5555555555555556,0.58,0.42,2,1,1,5046
1,0,1,0.0,0.1111111111111111,0.39,0.19,0,0,0,5090
1,1,1,0.6,0.6666666666666666,0.6599999999999999,0.56,3,1,2,5140
1,1,0,0.8,0.6666666666666666,0.73,0.53,4,2,2,4955
1,0,1,0.2,0.2222222222222222,0.54,0.33,2,0,0,5085
0,1,0,0.4,0.4444444444444444,0.5,0.45,1,1,1,5210
1,1,1,0.4,0.2222222222222222,0.6,0.36,2,1,0,5083
1,1,1,0.6,0.5555555555555556,0.75,0.59,4,1,1,4916
0,1,0,0.8,1.0,1.0,0.94,4,2,2,5157
1,0,1,0.2,0.2222222222222222,0.6,0.37,2,0,0,5018
0,1,0,0.4,0.5555555555555556,0.74,0.65,4,1,1,5178
1,1,1,0.4,0.4444444444444444,0.64,0.49,3,1,1,5055
0,1,1,0.2,0.2222222222222222,0.5599999999999999,0.38,2,0,0,5236
0,0,0,0.4,0.4444444444444444,0.74,0.62,4,1,1,4976
1,0,1,0.6,0.4444444444444444,0.61,0.39,3,1,1,5005
1,0,1,0.4,0.3333333333333333,0.31,0.15,0,1,1,5112
0,1,0,0.4,0.4444444444444444,0.8,0.61,4,1,1,4902
1,0,0,0.2,0.1111111111111111,0.4,0.26,0,0,0,5160
1,1,0,0.4,0.1111111111111111,0.36,0.28,0,1,0,4902
0,0,1,0.4,0.4444444444444444,0.8699999999999999,0.71,4,1,1,5203
1,1,0,0.6,0.4444444444444444,0.6799999999999999,0.57,3,1,1,5251
1,1,1,0.4,0.2222222222222222,0.49000000000000005,0.39,1,1,0,4934
1,0,0,0.6,0.5555555555555556,0.79,0.61,4,1,1,5004
0,0,0,0.6,0.5555555555555556,0.76,0.62,4,1,1,5096
1,1,0,1.0,0.8888888888888888,0.9199999999999999,0.8,4,2,2,5200
0,1,1,0.8,0.5555555555555556,0.65,0.63,3,2,1,5135
1,1,0,0.6,0.4444444444444444,0.6799999999999999,0.6,3,1,1,5026
1,0,0,0.8,0.7777777777777778,0.8699999999999999,0.79,4,2,2,4967
0,1,1,0.4,0.4444444444444444,0.62,0.39,3,1,1,5032
1,1,0,0.6,0.4444444444444444,0.58,0.36,2,1,1,5251
1,0,0,0.4,0.3333333333333333,0.6599999999999999,0.5,3,1,1,5060
0,0,0,0.8,0.6666666666666666,0.82,0.72,4,2,2,5004
1,1,1,0.4,0.2222222222222222,0.49000000000000005,0.34,1,1,0,5072
1,1,0,0.2,0.1111111111111111,0.41,0.27,1,0,0,5224
0,1,0,0.6,0.6666666666666666,0.74,0.66,4,1,2,5045
0,1,1,0.2,0.1111111111111111,0.44000000000000006,0.27,1,0,0,5117
1,1,0,0.4,0.5555555555555556,0.6900000000000001,0.67,3,1,1,4928
1,0,1,0.2,0.1111111111111111,0.53,0.38,2,0,0,4964
1,1,1,0.4,0.1111111111111111,0.43,0.28,1,1,0,5180
0,0,1,0.0,0.0,0.08,0.05,0,0,0,4988
1,1,1,0.4,0.3333333333333333,0.29,0.22,0,1,1,5171
1,1,1,0.2,0.2222222222222222,0.5,0.39,1,0,0,5187
0,1,1,0.2,0.3333333333333333,0.6900000000000001,0.52,3,0,1,5118
1,1,0,0.6,0.4444444444444444,0.47000000000000003,0.39,1,1,1,4998
1,1,0,0.2,0.2222222222222222,0.2,0.11,0,0,0,5215
1,1,0,0.4,0.3333333333333333,0.54,0.44,2,1,1,4996
0,0,0,0.4,0.4444444444444444,0.61,0.5,3,1,1,5074
1,0,1,0.2,0.3333333333333333,0.51,0.41,2,0,1,4958
1,1,1,0.6,0.4444444444444444,0.47000000000000003,0.43,1,1,1,5153
0,1,1,0.6,0.4444444444444444,0.54,0.46,2,1,1,4959
1,1,0,0.8,0.6666666666666666,0.9099999999999999,0.85,4,2,2,5228
0,1,1,0.2,0.2222222222222222,0.5,0.35,1,0,0,5256
0,0,0,0.2,0.0,0.0,0.0,0,0,0,5186
0,0,1,0.4,0.3333333333333333,0.43,0.34,1,1,1,5172
1,0,0,0.4,0.4444444444444444,0.5700000000000001,0.55,2,1,1,4974
0,1,1,0.8,0.5555555555555556,0.6799999999999999,0.62,3,2,1,4939
0,1,0,0.6,0.5555555555555556,0.76,0.72,4,1,1,5029
0,0,1,0.6,0.7777777777777778,0.8300000000000001,0.71,4,1,2,4924
1,0,0,0.2,0.2222222222222222,0.55,0.39,2,0,0,5038
1,1,0,0.2,0.2222222222222222,0.53,0.48,2,0,0,5079
1,1,0,0.6,0.6666666666666666,0.8,0.7,4,1,2,5132
0,1,1,0.8,0.5555555555555556,0.64,0.56,3,2,1,4907
1,1,1,0.2,0.2222222222222222,0.36,0.27,0,0,0,5007
1,0,1,0.4,0.4444444444444444,0.7,0.66,3,1,1,5073
1,0,0,0.6,0.6666666666666666,0.76,0.56,4,1,2,4957
0,1,0,0.4,0.4444444444444444,0.8699999999999999,0.79,4,1,1,5132
1,0,1,0.0,0.0,0.26,0.18,0,0,0,5209
1,1,1,0.4,0.3333333333333333,0.47000000000000003,0.33,1,1,1,5160
0,1,1,0.4,0.3333333333333333,0.64,0.4,3,1,1,5217
1,1,0,0.4,0.4444444444444444,0.58,0.39,2,1,1,5197
1,1,0,0.2,0.0,0.32999999999999996,0.23,0,0,0,5036
1,0,1,0.4,0.3333333333333333,0.5900000000000001,0.45,2,1,1,5255
0,0,1,0.2,0.2222222222222222,0.7,0.52,3,0,0,4940
1,1,0,0.8,0.6666666666666666,0.72,0.6,4,2,2,5013
0,1,1,0.6,0.6666666666666666,0.79,0.59,4,1,2,4981
1,1,1,0.2,0.2222222222222222,0.5900000000000001,0.36,2,0,0,4999
0,1,0,0.2,0.2222222222222222,0.44000000000000006,0.29,1,0,0,5196
0,1,1,0.4,0.4444444444444444,0.52,0.34,2,1,1,5207
1,0,1,0.4,0.3333333333333333,0.53,0.34,2,1,1,5173
1,0,1,0.6,0.3333333333333333,0.52,0.46,2,1,1,4998
0,1,1,0.4,0.4444444444444444,0.45,0.36,1,1,1,5204
1,0,0,0.4,0.2222222222222222,0.6599999999999999,0.45,3,1,0,4915
1,0,1,0.6,0.4444444444444444,0.38,0.27,0,1,1,5240
0,0,0,0.6,0.6666666666666666,0.76,0.65,4,1,2,5233
1,0,1,0.6,0.5555555555555556,0.5599999999999999,0.34,2,1,1,5122
1,1,1,0.2,0.2222222222222222,0.54,0.37,2,0,0,5036
0,0,1,0.2,0.1111111111111111,0.49000000000000005,0.25,1,0,0,5079
0,1,0,0.4,0.4444444444444444,0.73,0.57,4,1,1,5131
0,1,0,0.4,0.4444444444444444,0.5599999999999999,0.52,2,1,1,5135
1,0,0,0.8,0.7777777777777778,0.78,0.75,4,2,2,4969
1,0,1,0.8,0.6666666666666666,0.67,0.55,3,2,2,5068
1,1,0,0.2,0.3333333333333333,0.65,0.43,3,0,1,5188
1,1,1,0.0,0.0,0.18,0.1,0,0,0,5031
1,0,0,0.6,0.5555555555555556,0.8099999999999999,0.68,4,1,1,5021
0,1,1,0.6,0.6666666666666666,0.64,0.56,3,1,2,5142
0,1,1,0.6,0.7777777777777778,0.72,0.73,4,1,2,5233
1,1,0,0.4,0.4444444444444444,0.86,0.7,4,1,1,5010
0,0,0,0.8,0.7777777777777778,0.95,0.88,4,2,2,4905
0,0,1,0.4,0.5555555555555556,0.6799999999999999,0.63,3,1,1,5033
1,1,0,0.4,0.4444444444444444,0.65,0.62,3,1,1,5191
1,1,1,0.4,0.2222222222222222,0.35,0.25,0,1,0,5001
0,1,0,0.4,0.2222222222222222,0.48,0.4,1,1,0,5144
0,0,0,0.6,0.7777777777777778,0.76,0.77,4,1,2,5223
0,0,1,0.6,0.5555555555555556,0.62,0.58,3,1,1,5211
1,0,1,0.6,0.5555555555555556,0.36,0.3,0,1,1,5004
0,0,0,0.6,0.5555555555555556,0.8,0.61,4,1,1,5152
1,1,1,0.6,0.4444444444444444,0.6,0.4,2,1,1,4961
1,1,1,0.2,0.2222222222222222,0.38,0.33,0,0,0,5194
1,0,1,0.2,0.1111111111111111,0.24,0.06,0,0,0,5165
0,1,1,0.2,0.3333333333333333,0.43,0.36,1,0,1,5038
1,1,1,0.2,0.1111111111111111,0.37,0.28,0,0,0,4997
0,0,1,0.4,0.4444444444444444,0.5599999999999999,0.37,2,1,1,5198
1,1,1,0.0,0.0,0.1,0.03,0,0,0,5115
1,0,1,0.4,0.4444444444444444,0.72,0.67,4,1,1,5008
0,1,1,0.2,0.2222222222222222,0.67,0.46,3,0,0,5176
1,1,1,0.6,0.7777777777777778,0.75,0.72,4,1,2,4895
1,1,0,0.8,0.6666666666666666,0.75,0.65,4,2,2,5172
1,0,0,0.0,0.0,0.4,0.24,0,0,0,5204
1,1,1,0.2,0.2222222222222222,0.53,0.41,2,0,0,4924
1,0,0,0.4,0.4444444444444444,0.75,0.68,4,1,1,4982
0,0,0,0.8,0.6666666666666666,0.77,0.72,4,2,2,5229
0,1,1,0.0,0.1111111111111111,0.44000000000000006,0.33,1,0,0,5171
0,1,1,0.6,0.4444444444444444,0.65,0.48,3,1,1,4972
0,0,1,0.4,0.3333333333333333,0.55,0.48,2,1,1,5220
0,1,0,0.4,0.4444444444444444,0.5,0.36,1,1,1,4929
0,0,0,0.8,1.0,0.9199999999999999,0.91,4,2,2,4947
1,0,1,0.2,0.1111111111111111,0.41,0.24,1,0,0,4901
1,1,0,0.6,0.5555555555555556,0.55,0.45,2,1,1,4930
0,1,0,1.0,0.8888888888888888,0.8800000000000001,0.85,4,2,2,5086
1,1,0,0.4,0.3333333333333333,0.55,0.34,2,1,1,5118
0,0,1,0.2,0.2222222222222222,0.5900000000000001,0.36,2,0,0,4925
1,1,1,0.4,0.3333333333333333,0.45,0.34,1,1,1,5035
0,0,0,0.6,0.5555555555555556,0.8,0.59,4,1,1,5139
1,1,1,0.4,0.3333333333333333,0.58,0.44,2,1,1,5055
0,1,0,0.2,0.2222222222222222,0.44000000000000006,0.38,1,0,0,4935
0,0,0,0.6,0.5555555555555556,0.75,0.59,4,1,1,4895
1,1,0,0.4,0.6666666666666666,0.8,0.7,4,1,2,5087
0,0,0,0.4,0.2222222222222222,0.61,0.42,3,1,0,5015
0,0,1,0.2,0.1111111111111111,0.51,0.46,2,0,0,5112
1,1,1,0.6,0.4444444444444444,0.47000000000000003,0.39,1,1,1,5214
1,1,1,0.6,0.4444444444444444,0.52,0.42,2,1,1,5195
